# -----------------------------------------------------------------------
# Copyright (c) 2019 SAP SE or an SAP affiliate company. All rights reserved.
# -----------------------------------------------------------------------
# ImpEx for Importing Prices

# Macros / Replacement Parameter definitions
$productCatalog=groceryProductCatalog
$productCatalogName=Grocery Product Catalog

$catalogVersion=catalogversion(catalog(id[default=$productCatalog]),version[default='Staged'])[unique=true,default='$productCatalog:Staged']
$taxGroup=Europe1PriceFactory_PTG(code)[default=us-sales-tax-full]

# Set product approval status to Approved only for those products that have prices.
$approved=approvalstatus(code)[default='approved']
$lang=en

UPDATE Product;code[unique=true];$approved;$catalogVersion;$taxGroup
;P00001
;P00002
;P00003
;P00004
;P00005
;P00006
;P00007
;P00008
;P00009
;P00010
;P00011
;P00012
;P00013
;P00014
;P00015
;P00016
;P00017
;P00018
;P00019
;P00020
;P00021
;P00022
;P00023
;P00024
;P00025
;P00026
;P00027
;P00028
;P00029
;P00030
;P00031
;P00032
;P00033
;P00034
;P00035
;P00036
;P00037
;P00038
;P00039
;P00040
;P00041
;P00042
;P00043
;P00044
;P00045
;P00046
;P00047
;P00048
;P00049
;P00050
;P00051
;P00052
;P00053
;P00054
;P00055
;P00056
;P00057
;P00058
;P00059
;P00060


INSERT_UPDATE PriceRow;productId[unique=true];unit(code[unique=true,default=pieces]);currency(isocode)[unique=true];price;minqtd;unitFactor;net

;P00001;pieces;USD;1.2;1;1;false
;P00002;pieces;USD;0.35;1;1;false
;P00003;pieces;USD;2;1;1;false
;P00004;pieces;USD;0.5;1;1;false
;P00005;pieces;USD;0.5;1;1;false
;P00006;pieces;USD;0.6;1;1;false
;P00007;pieces;USD;3;1;1;false
;P00008;pieces;USD;0.42;1;1;false
;P00009;pieces;USD;0.5;1;1;false
;P00010;pieces;USD;2;1;1;false
;P00011;pieces;USD;1.76;1;1;false
;P00012;pieces;USD;0.8;1;1;false
;P00013;pieces;USD;4;1;1;false
;P00014;pieces;USD;3;1;1;false
;P00015;pieces;USD;6;1;1;false
;P00016;pieces;USD;3;1;1;false
;P00017;pieces;USD;5;1;1;false
;P00018;pieces;USD;1;1;1;false
;P00019;pieces;USD;2;1;1;false
;P00020;pieces;USD;1.5;1;1;false
;P00021;pieces;USD;1.4;1;1;false
;P00022;pieces;USD;0.36;1;1;false
;P00023;pieces;USD;0.79;1;1;false
;P00024;pieces;USD;0.84;1;1;false
;P00025;pieces;USD;4;1;1;false
;P00026;pieces;USD;1.14;1;1;false
;P00027;pieces;USD;0.83;1;1;false
;P00028;pieces;USD;20;1;1;false
;P00029;pieces;USD;10;1;1;false
;P00030;pieces;USD;6;1;1;false
;P00031;pieces;USD;8;1;1;false
;P00032;pieces;USD;6;1;1;false
;P00033;pieces;USD;5;1;1;false
;P00034;pieces;USD;1.6;1;1;false
;P00035;pieces;USD;2.5;1;1;false
;P00036;pieces;USD;4.83;1;1;false
;P00037;pieces;USD;0.8;1;1;false
;P00038;pieces;USD;0.41;1;1;false
;P00039;pieces;USD;0.75;1;1;false
;P00040;pieces;USD;3;1;1;false
;P00041;pieces;USD;1;1;1;false
;P00042;pieces;USD;2;1;1;false
;P00043;pieces;USD;6;1;1;false
;P00044;pieces;USD;4;1;1;false
;P00045;pieces;USD;3;1;1;false
;P00046;pieces;USD;0.77;1;1;false
;P00047;pieces;USD;0.83;1;1;false
;P00048;pieces;USD;0.68;1;1;false
;P00049;pieces;USD;0.55;1;1;false
;P00050;pieces;USD;1.37;1;1;false
;P00051;pieces;USD;1.32;1;1;false
;P00052;pieces;USD;0.96;1;1;false
;P00053;pieces;USD;3;1;1;false
;P00054;pieces;USD;1.3;1;1;false
;P00055;pieces;USD;1.33;1;1;false
;P00056;pieces;USD;6;1;1;false
;P00057;pieces;USD;0.84;1;1;false
;P00058;pieces;USD;0.36;1;1;false
;P00059;pieces;USD;1.70;1;1;false
;P00060;pieces;USD;2;1;1;false
